Date,Open,High,Low,Close,Adj Close,Volume
2020-06-11,0.038856,0.078568,0.038751,0.055727,0.055727,23544
2020-06-12,0.055748,0.063758,0.043086,0.053068,0.053068,12740
2020-06-13,0.053079,0.054382,0.040944,0.046767,0.046767,20434
2020-06-14,0.046766,0.055298,0.044848,0.049426,0.049426,17208
2020-06-15,0.049430,0.055058,0.037573,0.051250,0.051250,21152
2020-06-16,0.051246,0.066447,0.036764,0.060849,0.060849,23300
2020-06-17,0.060841,0.097300,0.043286,0.097290,0.097290,54573
2020-06-18,0.097295,0.097343,0.055492,0.070846,0.070846,60795
2020-06-19,0.070872,0.080844,0.061894,0.079412,0.079412,27135
2020-06-20,0.079453,0.104597,0.069758,0.087604,0.087604,74187
2020-06-21,0.087565,0.094407,0.077494,0.086059,0.086059,46506
2020-06-22,0.086010,0.092869,0.074184,0.082671,0.082671,49208
2020-06-23,0.082690,0.087994,0.065554,0.086279,0.086279,65752
2020-06-24,0.086539,0.100521,0.074909,0.082569,0.082569,51210
2020-06-25,0.082582,0.090443,0.077035,0.090403,0.090403,35561
2020-06-26,0.089765,0.095074,0.079960,0.082824,0.082824,41368
2020-06-27,0.082842,0.090013,0.078388,0.084567,0.084567,23941
2020-06-28,0.084567,0.084661,0.072549,0.076105,0.076105,27401
2020-06-29,0.076105,0.084040,0.075863,0.083362,0.083362,17559
2020-06-30,0.083345,0.083724,0.070636,0.075791,0.075791,18486
2020-07-01,0.076148,0.090370,0.072192,0.084975,0.084975,28672
2020-07-02,0.085024,0.100554,0.077845,0.094024,0.094024,63727
2020-07-03,0.094043,0.099744,0.086293,0.092313,0.092313,42611
2020-07-04,0.092340,0.093842,0.083546,0.089012,0.089012,32629
2020-07-05,0.088998,0.092340,0.084190,0.085079,0.085079,23115
2020-07-06,0.085074,0.091745,0.082245,0.088872,0.088872,20644
2020-07-07,0.088870,0.094354,0.080673,0.087742,0.087742,24461
2020-07-08,0.087742,0.089541,0.076673,0.077383,0.077383,35757
2020-07-09,0.077404,0.082239,0.073627,0.079421,0.079421,18515
2020-07-10,0.079393,0.088783,0.070211,0.087739,0.087739,30576
2020-07-11,0.087739,0.087754,0.074701,0.080791,0.080791,21435
2020-07-12,0.080805,0.082566,0.075629,0.076695,0.076695,14738
2020-07-13,0.076695,0.079424,0.072966,0.076133,0.076133,14423
2020-07-14,0.076203,0.076400,0.064709,0.072370,0.072370,24540
2020-07-15,0.072370,0.074137,0.063883,0.069076,0.069076,18280
2020-07-16,0.069066,0.069943,0.061720,0.068080,0.068080,18678
2020-07-17,0.068072,0.069914,0.058182,0.059939,0.059939,19073
2020-07-18,0.059938,0.067533,0.056909,0.063309,0.063309,11274
2020-07-19,0.063305,0.074950,0.063305,0.074920,0.074920,18281
2020-07-20,0.074941,0.086734,0.068894,0.079565,0.079565,30867
2020-07-21,0.078779,0.084059,0.071095,0.076300,0.076300,58917
2020-07-22,0.076303,0.088498,0.070371,0.080091,0.080091,56032
2020-07-23,0.080091,0.096694,0.080091,0.094909,0.094909,50634
2020-07-24,0.094909,0.095570,0.079985,0.085005,0.085005,80232
2020-07-25,0.085017,0.095263,0.083505,0.092753,0.092753,39711
2020-07-26,0.093629,0.094927,0.083014,0.086224,0.086224,32480
2020-07-27,0.086224,0.089070,0.079495,0.080245,0.080245,56375
2020-07-28,0.080231,0.084335,0.078017,0.080342,0.080342,25124
2020-07-29,0.080353,0.084224,0.079246,0.081041,0.081041,22841
2020-07-30,0.081026,0.087262,0.070641,0.086206,0.086206,47681
2020-07-31,0.086206,0.086466,0.079045,0.084505,0.084505,21161
2020-08-01,0.084500,0.085221,0.077068,0.080675,0.080675,32838
2020-08-02,0.080769,0.084495,0.072166,0.078673,0.078673,50242
2020-08-03,0.078667,0.083493,0.072704,0.083493,0.083493,31214
