Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.033792,0.040380,0.033744,0.039946,0.039946,32813200
2017-11-10,0.039833,0.039833,0.031366,0.033073,0.033073,32634200
2017-11-11,0.033083,0.035829,0.031881,0.033053,0.033053,17914400
2017-11-12,0.032965,0.033334,0.027469,0.028182,0.028182,17002300
2017-11-13,0.028115,0.031968,0.028041,0.030656,0.030656,11245700
2017-11-14,0.030609,0.037129,0.030382,0.036374,0.036374,18880900
2017-11-15,0.036471,0.037343,0.034680,0.037053,0.037053,28206500
2017-11-16,0.036987,0.037897,0.034634,0.037234,0.037234,20597200
2017-11-17,0.037144,0.037293,0.034894,0.035572,0.035572,11612900
2017-11-18,0.035494,0.036583,0.034652,0.036583,0.036583,6979350
2017-11-19,0.036482,0.039945,0.036039,0.036566,0.036566,17796700
2017-11-20,0.036619,0.039783,0.036174,0.038121,0.038121,13726200
2017-11-21,0.038127,0.039060,0.036212,0.037668,0.037668,9113270
2017-11-22,0.037669,0.042299,0.037566,0.042299,0.042299,13859400
2017-11-23,0.042674,0.044142,0.040149,0.040535,0.040535,22012000
2017-11-24,0.040437,0.041181,0.038939,0.040193,0.040193,11277900
2017-11-25,0.040280,0.043943,0.040040,0.043639,0.043639,10488700
2017-11-26,0.043762,0.049111,0.043762,0.048896,0.048896,30583700
2017-11-27,0.048866,0.062059,0.048501,0.059843,0.059843,45702000
2017-11-28,0.056877,0.084987,0.056486,0.081415,0.081415,142588992
2017-11-29,0.081939,0.099881,0.060393,0.064424,0.064424,232135008
2017-11-30,0.065554,0.078906,0.063939,0.072871,0.072871,66684900
2017-12-01,0.072181,0.091459,0.071534,0.089883,0.089883,102074000
2017-12-02,0.090184,0.098519,0.089947,0.093816,0.093816,82791104
2017-12-03,0.093531,0.096906,0.086840,0.089035,0.089035,55809800
2017-12-04,0.089487,0.097610,0.087554,0.097610,0.097610,37476600
2017-12-05,0.097240,0.127591,0.093964,0.123523,0.123523,152740992
2017-12-06,0.121563,0.167933,0.111746,0.151622,0.151622,384659008
2017-12-07,0.153297,0.177148,0.131568,0.133046,0.133046,312352992
2017-12-08,0.137887,0.145762,0.120002,0.137260,0.137260,188452000
2017-12-09,0.140346,0.147715,0.124521,0.135122,0.135122,102117000
2017-12-10,0.138053,0.138053,0.103975,0.119263,0.119263,91047600
2017-12-11,0.118252,0.151842,0.117751,0.144956,0.144956,117548000
2017-12-12,0.143231,0.162208,0.136176,0.156444,0.156444,135847008
2017-12-13,0.154966,0.162841,0.140410,0.149342,0.149342,107122000
2017-12-14,0.148829,0.209779,0.147458,0.188907,0.188907,281635008
2017-12-15,0.198565,0.204663,0.163988,0.195862,0.195862,260228992
2017-12-16,0.196077,0.236646,0.190341,0.232125,0.232125,234172992
2017-12-17,0.234672,0.300678,0.227982,0.266621,0.266621,423360992
2017-12-18,0.273167,0.278075,0.257238,0.276283,0.276283,201720992
2017-12-19,0.276017,0.300504,0.245986,0.264310,0.264310,212548992
2017-12-20,0.264813,0.265206,0.213690,0.252386,0.252386,250599008
2017-12-21,0.252894,0.280786,0.240672,0.257200,0.257200,199122000
2017-12-22,0.258506,0.276193,0.161494,0.216717,0.216717,229459008
2017-12-23,0.220812,0.263453,0.213736,0.234179,0.234179,116122000
2017-12-24,0.236793,0.237185,0.198229,0.224450,0.224450,71071600
2017-12-25,0.226538,0.234519,0.212722,0.228511,0.228511,71737296
2017-12-26,0.228649,0.232918,0.210969,0.226018,0.226018,96759296
2017-12-27,0.226261,0.233267,0.216719,0.229224,0.229224,78509400
2017-12-28,0.227821,0.228361,0.200481,0.223544,0.223544,75925400
2017-12-29,0.223778,0.335760,0.222680,0.322941,0.322941,387880000
2017-12-30,0.316473,0.390380,0.289056,0.323202,0.323202,537916032
2017-12-31,0.317846,0.364302,0.307454,0.360756,0.360756,183768000
2018-01-01,0.360422,0.523593,0.360422,0.480008,0.480008,669372032
2018-01-02,0.496876,0.593645,0.472748,0.564766,0.564766,676667008
2018-01-03,0.562720,0.919994,0.562572,0.896227,0.896227,1513270016
2018-01-04,0.892399,0.938144,0.677496,0.724050,0.724050,892268032
2018-01-05,0.739457,0.791967,0.577509,0.662712,0.662712,727409024
2018-01-06,0.663060,0.788507,0.614300,0.709945,0.709945,440182016
2018-01-07,0.709730,0.744735,0.661080,0.699645,0.699645,347556992
2018-01-08,0.695952,0.695952,0.555769,0.629323,0.629323,249426000
2018-01-09,0.628026,0.649552,0.568159,0.585653,0.585653,208330000
2018-01-10,0.588565,0.588565,0.483044,0.566930,0.566930,249019008
2018-01-11,0.563690,0.613405,0.437407,0.558126,0.558126,330878016
2018-01-12,0.558864,0.715440,0.534755,0.677960,0.677960,394376000
2018-01-13,0.681853,0.721316,0.643237,0.671564,0.671564,189183008
2018-01-14,0.672198,0.672198,0.582819,0.630856,0.630856,116460000
2018-01-15,0.625504,0.670579,0.599138,0.599271,0.599271,345561984
2018-01-16,0.600117,0.600117,0.323407,0.441197,0.441197,466139008
2018-01-17,0.441944,0.503706,0.305034,0.477187,0.477187,486788992
2018-01-18,0.479522,0.570070,0.453596,0.509523,0.509523,472047008
2018-01-19,0.503367,0.535594,0.481281,0.506232,0.506232,207275008
2018-01-20,0.509950,0.547453,0.502153,0.534677,0.534677,204012992
2018-01-21,0.534347,0.534347,0.445113,0.464117,0.464117,161687008
2018-01-22,0.465901,0.529766,0.432834,0.486338,0.486338,442542016
2018-01-23,0.475039,0.518281,0.434858,0.486185,0.486185,207031008
2018-01-24,0.486517,0.589589,0.473565,0.567014,0.567014,669318976
2018-01-25,0.567863,0.649971,0.556165,0.608253,0.608253,627336000
2018-01-26,0.602163,0.645780,0.553197,0.633916,0.633916,787644032
2018-01-27,0.631495,0.639450,0.610086,0.613061,0.613061,216912992
2018-01-28,0.615916,0.640046,0.615448,0.634421,0.634421,194610000
2018-01-29,0.632602,0.632602,0.583512,0.589283,0.589283,118507000
2018-01-30,0.590831,0.590831,0.475736,0.489648,0.489648,178892992
2018-01-31,0.488731,0.555212,0.440520,0.539797,0.539797,288692992
2018-02-01,0.540834,0.542970,0.429680,0.456455,0.456455,172407008
2018-02-02,0.455087,0.455087,0.285878,0.405075,0.405075,396784000
2018-02-03,0.405950,0.478678,0.345184,0.430056,0.430056,282348992
2018-02-04,0.425970,0.467492,0.366818,0.377231,0.377231,231808000
2018-02-05,0.383191,0.425340,0.312975,0.331192,0.331192,339507008
2018-02-06,0.336738,0.374247,0.266352,0.370811,0.370811,518084992
2018-02-07,0.368956,0.380924,0.337244,0.342125,0.342125,188328000
2018-02-08,0.344930,0.373893,0.344930,0.363565,0.363565,121448000
2018-02-09,0.360711,0.402324,0.348872,0.401068,0.401068,144231008
2018-02-10,0.398440,0.453920,0.384953,0.406856,0.406856,227551008
2018-02-11,0.406615,0.406615,0.357825,0.370005,0.370005,85791696
2018-02-12,0.374181,0.401820,0.374181,0.395649,0.395649,61140000
2018-02-13,0.396419,0.435547,0.374388,0.410614,0.410614,196175008
2018-02-14,0.409872,0.457474,0.402079,0.453888,0.453888,192628992
2018-02-15,0.452048,0.463623,0.444260,0.453556,0.453556,106142000
2018-02-16,0.451796,0.458327,0.441777,0.455446,0.455446,53289200
2018-02-17,0.455103,0.483244,0.451585,0.479075,0.479075,104733000
2018-02-18,0.479855,0.486165,0.441988,0.450399,0.450399,74452000
2018-02-19,0.450437,0.461753,0.448995,0.452932,0.452932,57015400
2018-02-20,0.452845,0.455373,0.399315,0.402289,0.402289,104842000
2018-02-21,0.399718,0.433562,0.379845,0.396765,0.396765,132189000
2018-02-22,0.393891,0.408898,0.358483,0.366447,0.366447,69561104
2018-02-23,0.364134,0.390408,0.352623,0.381985,0.381985,56829000
2018-02-24,0.382687,0.386899,0.346156,0.355163,0.355163,34738100
2018-02-25,0.354549,0.366940,0.336719,0.357302,0.357302,42268800
2018-02-26,0.358687,0.371765,0.346502,0.364579,0.364579,42535600
2018-02-27,0.364632,0.372450,0.354834,0.362051,0.362051,38136100
2018-02-28,0.360410,0.364738,0.333916,0.333916,0.333916,38961000
2018-03-01,0.334118,0.347566,0.321558,0.339314,0.339314,46631800
2018-03-02,0.338691,0.340805,0.318850,0.320107,0.320107,38378100
2018-03-03,0.319021,0.350168,0.313368,0.350168,0.350168,52827100
2018-03-04,0.354031,0.363792,0.342398,0.361930,0.361930,99892704
2018-03-05,0.363777,0.398224,0.352031,0.352031,0.352031,98523696
2018-03-06,0.351753,0.366554,0.335254,0.337911,0.337911,44141000
2018-03-07,0.337814,0.349137,0.300388,0.329103,0.329103,62389100
2018-03-08,0.329847,0.341127,0.306218,0.311938,0.311938,47233100
2018-03-09,0.311237,0.315440,0.267454,0.311859,0.311859,56838800
2018-03-10,0.315618,0.320392,0.290070,0.292661,0.292661,21963200
2018-03-11,0.291868,0.306688,0.280042,0.304217,0.304217,26023900
2018-03-12,0.304301,0.312193,0.286332,0.291765,0.291765,29443200
2018-03-13,0.290151,0.301183,0.282290,0.290193,0.290193,24814700
2018-03-14,0.291850,0.297763,0.240711,0.248689,0.248689,49138300
2018-03-15,0.248854,0.250575,0.217064,0.240655,0.240655,54358800
2018-03-16,0.240988,0.241545,0.227545,0.229991,0.229991,23756700
2018-03-17,0.230277,0.234321,0.200989,0.206731,0.206731,33001800
2018-03-18,0.206409,0.222828,0.158913,0.220473,0.220473,91400496
2018-03-19,0.222368,0.250226,0.212955,0.250226,0.250226,93820800
2018-03-20,0.249992,0.282082,0.235574,0.267968,0.267968,88101600
2018-03-21,0.270670,0.271789,0.249781,0.254636,0.254636,93970496
2018-03-22,0.255170,0.259328,0.228713,0.243212,0.243212,53777200
2018-03-23,0.242993,0.242993,0.224581,0.236147,0.236147,49937100
2018-03-24,0.237745,0.245778,0.234044,0.235422,0.235422,37806800
2018-03-25,0.233062,0.242739,0.230378,0.239952,0.239952,31527600
2018-03-26,0.239258,0.246144,0.217238,0.228861,0.228861,44406300
2018-03-27,0.228565,0.229138,0.205230,0.216033,0.216033,37693300
2018-03-28,0.215889,0.225843,0.215086,0.219251,0.219251,21717600
2018-03-29,0.219226,0.221460,0.187853,0.190819,0.190819,44352600
2018-03-30,0.190582,0.199357,0.174934,0.188733,0.188733,37767000
2018-03-31,0.189039,0.220780,0.189039,0.206778,0.206778,82895904
2018-04-01,0.207723,0.213390,0.190688,0.206582,0.206582,43075500
2018-04-02,0.207131,0.233383,0.204698,0.224878,0.224878,70195696
2018-04-03,0.225992,0.239845,0.225069,0.235691,0.235691,76510096
2018-04-04,0.233729,0.236577,0.202380,0.204108,0.204108,58482100
2018-04-05,0.207124,0.209153,0.191903,0.197940,0.197940,46694000
2018-04-06,0.197781,0.199645,0.189090,0.193317,0.193317,30056300
2018-04-07,0.193547,0.205750,0.192891,0.201859,0.201859,27242100
2018-04-08,0.201817,0.207877,0.201279,0.206377,0.206377,18973800
2018-04-09,0.206718,0.213455,0.192837,0.197333,0.197333,36684300
2018-04-10,0.197444,0.201289,0.196407,0.199344,0.199344,26841200
2018-04-11,0.199526,0.212465,0.198926,0.212337,0.212337,40041100
2018-04-12,0.211258,0.242264,0.206995,0.242120,0.242120,103292000
